source,system,name,geometry_hash,surface,lighting,winter_usage,summer_usage,ski_difficulty,ski_mode,direction,summer_direction,winter_direction,handicap_accessible,comments,image_url
Muni,Kincaid Ski Trails,Jodhpur Loop,c2a96bdf9eea291ab05e335375a351b4a435dfbb,,,,,,,,,2way,,,
Muni,Kincaid Ski Trails,Jodhpur Loop,c3c91b49179dfd9178d7a89431f5d158026d72d4,,,,,,,,,1wayreverse,,,
Muni,Kincaid Ski Trails,Jodhpur Loop,20a886da3938809e58d9fce8ac5b167fdaec5019,,,,,,,,,1wayreverse,,,
Muni,Kincaid Ski Trails,Jodhpur Loop,ede01a2d13639027d6274beecee7e7b59898e034,,,,,,,,,1wayreverse,,,
Muni,Kincaid Ski Trails,Jodhpur Loop,c9428f0c103b650f91439510860220f102f5c402,,,,,,,,,1wayreverse,,,
Muni,Kincaid Ski Trails,World Cup Start,23e43a8237a89bcbc979cba3afdb37d19bb07260,,,,,,,,,2way,,,
Muni,Kincaid Ski Trails,World Cup Start,b64998e3c5127a12f3f299cb11d35352e5736df2,,,,,,,,,1wayreverse,,,
Muni,Kincaid Ski Trails,Mize Loop,23c5f66aa50ee78df56ff04ab38bac06c8c0c94c,,,,,,,,,2way,,,
Muni,Kincaid Ski Trails,Mize Loop,be36936e3d40ee3d2af137a6a24b6db061c9c124,,,,,,,,,2way,,,
,,,5ea41b98c4823dbf844c0e1ceb757b2895e8ac08,,,,,,,,,2way,,,
,,,3972bad1e8fab300ea99dc2e17a922831e600074,,,,,,,,,1wayreverse,,,
,,,0a0108867ff83f2240f7ea6f00828a6c97c08105,,,,,,,,,2way,,,
,,,8676947d188846ee0307ca4c425f3c465931bccd,,,,,,,,,2way,,,
,,Ice Box,cfddc8eaeb9df950355bbc9863bea40ffbcda78f,,,,,,,,,1wayreverse,,,
,,,923bddbec644b264d0c1feaa34f9355530f3862d,,,,,,,,,2way,,,
,,,ec7e76e7ddb5d852a4e0b9d24480207a9343daa1,,,,,,,,,2way,,,
,,,66c8d7f9ec4edf208a621a30f3a6ed5979030819,,,,,,,,,2way,,,
,,Mize Loop,90d0a0d68035e9b4128b5e30ef09011660933df4,,,,,,,,,2way,,,
,,Mize Loop,d13714ea55c3847c58f7538b5a92c140878bb7f5,,,,,,,,,2way,,,
,,Mize Loop,6815aa4ef6b1fa8a2488b1973c07f5fdf8cedaf4,,,,,,,,,2way,,,
,,Mize Loop,1d7312e9691e908f0ca58511550d116fac93166c,,,,,,,,,2way,,,
,,Margauxs Loop,a244b54a02208e1d884f1311b9db2e5585493c18,,,,,,,,,2way,,,
,,Margauxs Loop,3f1d483f93af670486cbc8002784439a6cd948e8,,,,,,,,,2way,,,
,,Margauxs Loop,9bce81256881eea84ae9813f13d4b941372b2a41,,,,,,,,,2way,,,
,,Margauxs Loop,c56d0156ae18183095207fb7aa88584687c1e41b,,,,,,,,,2way,,,
,,Margauxs Loop,fd7bf3e743425e1a6f953cbf6de668a4d64860f4,,,,,,,,,1way,,,
,,Margauxs Loop,8644f53f620cab337f1e75999a5ddeaa2852fb90,,,,,,,,,1way,,,
,,Margauxs Loop,d65a45a8dcf41b097a42ca76b621035dbf83b3c2,,,,,,,,,2way,,,
,,Margauxs Loop,113f14be04136144ea59a566a4e74e7b95571a1f,,,,,,,,,1way,,,
,,Margauxs Loop,9c42d1de46e15a4f72dc3174ed53c0825929ce20,,,,,,,,,1way,,,
,,Margauxs Loop,61cd25617383e8ea7588760a7bb4b7dfe27fb18c,,,,,,,,,1way,,,
,,Margauxs Loop,1819dfb4c7acf5c8d664b5195e3dec5e7d3d926f,,,,,,,,,1way,,,
,,Margauxs Loop,ae1883032720fa2614f250e7c562b07ec510fba3,,,,,,,,,1way,,,
,,Margauxs Loop,f85e777561e04dac2563e699c7635728d45733f3,,,,,,,,,1way,,,
,,Margauxs Loop,bc51598f97bf5cc658f6bb2543306bd7d259ffc6,,,,,,,,,1way,,,
,,Margauxs Loop,3af6731d43afe8a2a53ff673f1bb6672e5196b00,,,,,,,,,2way,,,
,,Margauxs Loop,2746c652730e1da8d29db24dd6fe574b6f06ede8,,,,,,,,,2way,,,
,,Lekisch Loop,e776272b560a6200a565c5da126bf47779460eac,,,,,,,,,1wayreverse,,,
,,World Cup Start,c17d0adec6e5043030ab2f381c7405c2318da500,,,,,,,,,2way,,,
,,World Cup Start,23e43a8237a89bcbc979cba3afdb37d19bb07260,,,,,,,,,2way,,,
,,Arlene's Way,2ce20436ca487b4ca24a959890f0a21d10766e2e,,,,,,,,,2way,,,
