source,system,name,
Muni,Kincaid Ski Trails,Jodhpur Loop,
Muni,Hillside Ski Trails,Abbott Trail,
Muni,,Unnamed,
Muni,Coastal Trail,Coastal Trail,
Muni,,RC Meadow 3,
Muni,,Panorama View,
Muni,,Panorama View,
Muni,,Unnamed,
Muni,,Unnamed,
Muni,,Unnamed,
Muni,,Unnamed,
Muni,,Unnamed,
Muni,,Unnamed,
Muni,,Unnamed,
Muni,,Debarr Rd. Trail,
Muni,,Unnamed,
Muni,,Unnamed,
Muni,,Unnamed,
Muni,Glenn Hwy Trail,Glenn Hwy Trail,
Muni,,Unnamed,
Muni,,6th Ave. Trail,
Muni,,UAA Dr. Trail,
Muni,Kincaid Ski Trails,The Football,
Muni,Kincaid Other Trails,Unnamed,
Muni,Mirror Lake Ski Trails,Start Area Trail,
Muni,Beech Lake Ski Trails,Unnamed,
Muni,Beech Lake Ski Trails,Unnamed,
Muni,Beech Lake Ski Trails,Unnamed,
Muni,Chester Creek Trail,Chester Creek Trail,
Muni,,Unnamed,
Muni,Kincaid Ski Trails,Old Six,
Muni,,Victor Rd. Trail,
Muni,,Unnamed,
Muni,Connors Bog Skijor,Main,
Muni,Beech Lake Ski Trails,Unnamed,
Muni,,Unnamed,
Muni,,Northern Lights Bvld. Trail,
Muni,,Unnamed,
Muni,,Unnamed,
Muni,,Homecoming/poleline,
Muni,,Unnamed,
Muni,Ruth Arcand Trails,Unnamed,
Muni,Kincaid Other Trails,Unnamed,
Muni,,Unnamed,
Muni,,Unnamed,
Muni,Kincaid Other Trails,Unnamed,
Muni,Coastal Trail,Coastal Trail,
Muni,,Unnamed,
Muni,,Unnamed,
Muni,,Unnamed,
Muni,,Ship Creek,
Muni,,East Boundary Trail,
Muni,Hillside Ski Trails,Gasline Trail,
Muni,,Unnamed,
Muni,Kincaid Other Trails,Unnamed,
Muni,Hillside Ski Trails,Short Cut,
Muni,Hillside Ski Trails,Besh Lighted Loop,
Muni,Ruth Arcand Trails,Unnamed,
Muni,Connors Bog Skijor,to main,
Muni,Connors Bog Skijor,Unnamed,
Muni,Russian Jack Ski Trails,Unnamed,
Muni,,Unnamed,
Muni,,Mud Bog Trail,
Muni,,Mahaffey/APU,
Muni,Russian Jack Ski Trails,Unnamed,
Muni,Russian Jack Ski Trails,Unnamed,
Muni,Campbell Creek Trail,Campbell Creek Trail,"Runs from Diamond High School, around Taku lake, and access to UAA/APU. Great commuter trail. "
Muni,,Tudor Road Trail,
Muni,Campbell Creek Trail,Campbell Creek Trail,"Runs from Diamond High School, around Taku lake, and access to UAA/APU. Great commuter trail. "
Muni,,Unnamed,
Muni,Kincaid Other Trails,Unnamed,
Muni,,Rondy Cut Off Trail,
Muni,Beech Lake Ski Trails,Unnamed,
Muni,,Unnamed,
