name,latitude,longitude,comment,type,parking,bathrooms
Raspberry Road Parking Lot,61.15477483,-150.0181282,,trailhead,yes,no
Lake Parking Lot,61.16344616,-150.0232726,,trailhead,yes,no
Kincaid Chalet,61.15405535,-150.0537694,,trailhead,yes,yes
